strike_price,call_bid,call_ask,put_bid,put_ask
1765,197.80,201.80,1.50,2.15
1770,192.90,196.90,1.60,2.20
1775,188.00,192.00,1.65,2.35
1780,183.10,187.10,1.75,2.40
1785,178.20,182.20,1.85,2.50
1790,173.30,177.30,1.90,2.60
1795,168.40,172.40,2.00,2.75
1800,163.50,167.50,2.15,2.90
1805,158.60,162.60,2.25,3.00
1810,153.80,157.80,2.35,3.20
1815,148.90,152.90,2.50,3.40
1820,144.10,148.10,2.65,3.50
1825,139.20,143.30,3.00,3.60
1830,134.40,138.40,3.00,3.90
1835,129.60,133.60,3.20,4.10
1840,124.80,128.80,3.40,4.40
1845,120.10,124.10,3.60,4.60
1850,115.40,119.30,3.80,4.90
1855,110.60,114.60,4.10,5.20
1860,105.90,109.90,4.40,5.50
1865,101.30,105.20,4.70,5.80
1870,96.60,100.50,5.00,6.20
1875,92.00,95.90,5.40,6.60
1880,87.40,91.30,5.80,7.00
1885,82.90,86.70,6.20,7.50
1890,78.40,82.20,6.70,8.00
1895,74.00,77.70,7.20,8.60
1900,69.60,73.20,7.80,8.80
1905,66.00,68.50,8.50,9.50
1910,61.60,64.10,9.10,10.20
1915,57.40,59.80,9.90,11.30
1920,53.30,55.60,10.70,12.10
1925,49.10,51.20,11.60,12.60
1930,45.20,47.30,12.50,14.00
1935,41.20,43.40,13.60,14.70
1940,37.40,39.50,14.70,15.80
1945,33.70,35.70,15.90,17.20
1950,30.10,32.10,17.70,18.80
1955,26.70,28.50,19.00,20.50
1960,23.40,25.10,20.60,22.00
1965,20.30,21.80,22.30,24.00
1970,17.40,18.80,24.30,25.80
1975,14.60,15.90,26.50,28.10
1980,12.20,13.30,28.90,30.60
1985,9.90,11.00,31.40,33.20
1990,7.90,9.00,34.30,36.50
1995,6.20,7.10,37.40,39.70
2000,4.70,5.20,40.70,43.20
2005,3.40,4.20,44.00,47.70
2010,2.65,3.10,48.00,51.40
2015,1.75,2.30,52.20,56.00
2020,1.20,1.70,56.60,60.40
2025,1.00,1.25,61.20,65.00
2030,0.45,1.00,65.90,69.70
2035,0.25,0.80,70.70,74.40
2040,0.35,0.65,75.60,79.30
2045,0.20,0.60,80.50,84.10
2050,0.20,0.30,85.40,89.00
2055,0.15,0.50,90.40,94.00
2060,0.15,0.30,95.30,98.90
2065,0.15,0.20,100.30,103.90
2070,0.10,0.20,105.30,108.90
2075,0.10,0.20,110.30,113.80
2080,0.05,0.45,115.30,118.80
2085,0.05,0.40,120.30,123.80
2090,0.05,0.15,125.30,128.80
2095,0.05,0.35,130.30,133.80
2100,0.05,0.15,135.30,138.80
2120,0.00,0.15,155.30,158.80
2125,0.05,0.15,160.30,163.80
2150,0.00,0.10,185.20,188.80
2175,0.00,0.05,210.20,213.70
2200,0.00,0.05,235.20,238.70
2225,0.05,0.10,260.20,263.70
2250,0.00,0.05,285.20,288.70
