strike_price,option_type,midpoint_price,delta_k,contribution_by_strike
1640,Put,0.725,5,0.0000013478
1645,Put,0.775,5,0.0000014320
1650,Put,0.675,5,0.0000012397
1655,Put,0.825,5,0.0000015060
1660,Put,0.825,5,0.0000014970
1665,Put,0.875,5,0.0000015782
1670,Put,0.875,5,0.0000015688
1675,Put,0.925,5,0.0000016485
1680,Put,0.975,5,0.0000017273
1685,Put,1.025,5,0.0000018051
1690,Put,1.025,5,0.0000017944
1695,Put,1.075,5,0.0000018709
1700,Put,1.125,5,0.0000019464
1705,Put,1.125,5,0.0000019350
1710,Put,1.175,5,0.0000020092
1715,Put,1.225,5,0.0000020825
1720,Put,1.275,5,0.0000021549
1725,Put,1.325,5,0.0000022265
1730,Put,1.375,5,0.0000022972
1735,Put,1.425,5,0.0000023670
1740,Put,1.475,5,0.0000024360
1745,Put,1.55,5,0.0000025452
1750,Put,1.6,5,0.0000026123
1755,Put,1.675,5,0.0000027192
1760,Put,1.75,5,0.0000028248
1765,Put,1.825,5,0.0000029292
1770,Put,1.9,5,0.0000030324
1775,Put,2,5,0.0000031740
1780,Put,2.075,5,0.0000032746
1785,Put,2.175,5,0.0000034132
1790,Put,2.25,5,0.0000035112
1795,Put,2.375,5,0.0000036856
1800,Put,2.525,5,0.0000038967
1805,Put,2.625,5,0.0000040286
1810,Put,2.775,5,0.0000042353
1815,Put,2.95,5,0.0000044776
1820,Put,3.075,5,0.0000046417
1825,Put,3.3,5,0.0000049541
1830,Put,3.45,5,0.0000051511
1835,Put,3.65,5,0.0000054200
1840,Put,3.9,5,0.0000057598
1845,Put,4.1,5,0.0000060224
1850,Put,4.35,5,0.0000063551
1855,Put,4.65,5,0.0000067568
1860,Put,4.95,5,0.0000071542
1865,Put,5.25,5,0.0000075471
1870,Put,5.6,5,0.0000080073
1875,Put,6,5,0.0000085335
1880,Put,6.4,5,0.0000090541
1885,Put,6.85,5,0.0000096393
1890,Put,7.35,5,0.0000102883
1895,Put,7.9,5,0.0000109999
1900,Put,8.3,5,0.0000114961
1905,Put,9,5,0.0000124003
1910,Put,9.65,5,0.0000132263
1915,Put,10.6,5,0.0000144526
1920,Put,11.4,5,0.0000154626
1925,Put,12.1,5,0.0000163269
1930,Put,13.25,5,0.0000177861
1935,Put,14.15,5,0.0000188962
1940,Put,15.25,5,0.0000202603
1945,Put,16.55,5,0.0000218745
1950,Put,18.25,5,0.0000239979
1955,Put,19.75,5,0.0000258376
1960,Put/Call_Average,22.775,5,0.0000296432
1965,Call,21.05,5,0.0000272588
1970,Call,18.1,5,0.0000233198
1975,Call,15.25,5,0.0000195486
1980,Call,12.75,5,0.0000162614
1985,Call,10.45,5,0.0000132609
1990,Call,8.45,5,0.0000106691
1995,Call,6.65,5,0.0000083544
2000,Call,4.95,5,0.0000061876
2005,Call,3.8,5,0.0000047264
2010,Call,2.875,5,0.0000035582
2015,Call,2.025,5,0.0000024938
2020,Call,1.45,5,0.0000017768
2025,Call,1.125,5,0.0000013718
2030,Call,0.725,5,0.0000008797
2035,Call,0.525,5,0.0000006339
2040,Call,0.5,5,0.0000006007
2045,Call,0.4,5,0.0000004782
2050,Call,0.25,5,0.0000002974
2055,Call,0.325,5,0.0000003848
2060,Call,0.225,5,0.0000002651
2065,Call,0.175,5,0.0000002052
2070,Call,0.15,5,0.0000001750
2075,Call,0.15,5,0.0000001742
2080,Call,0.25,5,0.0000002889
2085,Call,0.225,5,0.0000002588
2090,Call,0.1,5,0.0000001145
2095,Call,0.2,5,0.0000002278
2100,Call,0.1,15,0.0000003401
2125,Call,0.1,25,0.0000005536
